DeltaRatioBin	Count	AvgDeltaEdgeRatio	AvgSpeedup	MedianSpeedup
[0,0.05)	7	0.0185	3.645	1.275
[0.05,0.1)	11	0.0725	3.189	1.334
[0.1,0.3)	18	0.1645	5.814	1.915
[0.3,1.0]	15	0.4618	4.611	3.542
