Case	DeltaPct	DeltaLabel	Turn	Full_FC_s	Inc_FC_s	Speedup	GraphEdges	DeltaRuleApps	DeltaEdgeRatio
P4	0.001	inc0p1	del	0.000114	0.000041	2.812	17	2	0.117647
P4	0.001	inc0p1	ins	0.000091	0.000036	2.552	19	2	0.105263
P4	0.003	inc0p3	del	0.000103	0.000039	2.639	17	2	0.117647
P4	0.003	inc0p3	ins	0.000095	0.000035	2.680	19	2	0.105263
P4	0.005	inc0p5	del	0.000075	0.000049	1.537	17	2	0.117647
P4	0.005	inc0p5	ins	0.000082	0.000037	2.224	19	2	0.105263
P5	0.001	inc0p1	del	0.000093	0.000991	0.094	30	3	0.100000
P5	0.001	inc0p1	ins	0.000245	0.000301	0.816	33	3	0.090909
P5	0.003	inc0p3	del	0.000093	0.000836	0.111	30	3	0.100000
P5	0.003	inc0p3	ins	0.000186	0.000400	0.466	33	3	0.090909
P5	0.005	inc0p5	del	0.000146	0.001064	0.137	30	3	0.100000
P5	0.005	inc0p5	ins	0.000239	0.000440	0.542	33	3	0.090909
P6	0.001	inc0p1	del	0.000332	0.001063	0.312	59	5	0.084746
P6	0.001	inc0p1	ins	0.000484	0.000589	0.821	64	5	0.078125
P6	0.003	inc0p3	del	0.000331	0.001065	0.311	59	5	0.084746
P6	0.003	inc0p3	ins	0.000582	0.000602	0.966	64	5	0.078125
P6	0.005	inc0p5	del	0.000355	0.001008	0.352	59	5	0.084746
P6	0.005	inc0p5	ins	0.000473	0.000575	0.823	64	5	0.078125
P7	0.001	inc0p1	del	0.000672	0.000457	1.471	183	0	0.000000
P7	0.001	inc0p1	ins	0.000781	0.000285	2.742	183	0	0.000000
P7	0.003	inc0p3	del	0.000690	0.000374	1.843	183	0	0.000000
P7	0.003	inc0p3	ins	0.000665	0.000371	1.792	183	0	0.000000
P7	0.005	inc0p5	del	0.000859	0.000431	1.993	177	6	0.033898
P7	0.005	inc0p5	ins	0.000670	0.000346	1.938	183	6	0.032787
P8	0.001	inc0p1	del	0.000916	0.000488	1.876	282	15	0.053191
P8	0.001	inc0p1	ins	0.000927	0.000413	2.246	297	15	0.050505
P8	0.003	inc0p3	del	0.000934	0.000523	1.786	282	15	0.053191
P8	0.003	inc0p3	ins	0.000842	0.000505	1.667	297	15	0.050505
P8	0.005	inc0p5	del	0.001035	0.000550	1.882	282	15	0.053191
P8	0.005	inc0p5	ins	0.000866	0.000401	2.158	297	15	0.050505
P9	0.001	inc0p1	del	0.001309	0.000853	1.533	217	2	0.009217
P9	0.001	inc0p1	ins	0.001476	0.001141	1.294	219	2	0.009132
P9	0.003	inc0p3	del	0.001308	0.001097	1.193	217	2	0.009217
P9	0.003	inc0p3	ins	0.001330	0.001067	1.247	219	2	0.009132
P9	0.005	inc0p5	del	0.001313	0.000876	1.498	217	2	0.009217
P9	0.005	inc0p5	ins	0.001303	0.001051	1.239	219	2	0.009132
