Case	DeltaPct	DeltaLabel	Turn	Full_SEM_s	Inc_SEM_s	GraphNodes	GraphEdges	DeltaInsertNodes	DeltaInsertEdges	DeltaDeleteNodes	DeltaDeleteEdges	ApplyDelTuples	ApplyDelRuleApps	ApplyDelFacts	ApplyInsTuples	ApplyInsRuleApps	ApplyInsFacts
P18	0.003	inc0p3	ins	0.930080	0.257709	181719	42201	13765	13452	0	0	0	0	0	13452	13452	314
P18	0.005	inc0p5	del	0.841086	0.407771	164982	25987	0	0	16737	16214	16214	16214	524	0	0	0
P18	0.005	inc0p5	ins	0.987619	0.280935	181719	42201	16737	16214	0	0	0	0	0	16214	16214	524
P19	0.001	inc0p1	del	1.147607	0.308567	222452	46446	0	0	6971	6839	6839	6839	132	0	0	0
P19	0.001	inc0p1	ins	1.271270	0.262435	229423	53285	6971	6839	0	0	0	0	0	6839	6839	132
P19	0.003	inc0p3	del	0.974418	0.432969	211951	36210	0	0	17472	17075	17075	17075	397	0	0	0
P19	0.003	inc0p3	ins	1.111074	0.366844	229423	53285	17472	17075	0	0	0	0	0	17075	17075	397
P19	0.005	inc0p5	del	1.048812	0.552158	203994	28518	0	0	25429	24767	24767	24767	662	0	0	0
P19	0.005	inc0p5	ins	1.229155	0.413327	229423	53285	25429	24767	0	0	0	0	0	24767	24767	662
P20	0.001	inc0p1	del	0.947809	0.211445	225281	43337	0	0	1227	1081	1081	1081	146	0	0	0
P20	0.001	inc0p1	ins	0.920909	0.212245	226508	44418	1227	1081	0	0	0	0	0	1081	1081	146
P20	0.003	inc0p3	del	0.966780	0.271655	223617	41967	0	0	2891	2451	2451	2451	440	0	0	0
P20	0.003	inc0p3	ins	1.009965	0.228275	226508	44418	2891	2451	0	0	0	0	0	2451	2451	440
P20	0.005	inc0p5	del	0.975801	0.367136	222003	40646	0	0	4505	3772	3772	3772	733	0	0	0
P20	0.005	inc0p5	ins	0.996777	0.256179	226508	44418	4505	3772	0	0	0	0	0	3772	3772	733
P3	0.001	inc0p1	del	0.004346	0.000744	126	58	0	0	1	0	0	0	1	0	0	0
P3	0.001	inc0p1	ins	0.004520	0.001027	127	58	1	0	0	0	0	0	0	0	0	1
P3	0.003	inc0p3	del	0.004280	0.001232	126	58	0	0	1	0	0	0	1	0	0	0
P3	0.003	inc0p3	ins	0.004435	0.001219	127	58	1	0	0	0	0	0	0	0	0	1
P3	0.005	inc0p5	del	0.004341	0.001203	126	58	0	0	1	0	0	0	1	0	0	0
P3	0.005	inc0p5	ins	0.004375	0.000942	127	58	1	0	0	0	0	0	0	0	0	1
P4	0.001	inc0p1	del	0.000357	0.001277	87	17	0	0	3	2	2	2	1	0	0	0
P4	0.001	inc0p1	ins	0.000325	0.001099	90	19	3	2	0	0	0	0	0	2	2	1
P4	0.003	inc0p3	del	0.000321	0.001219	87	17	0	0	3	2	2	2	1	0	0	0
P4	0.003	inc0p3	ins	0.001181	0.000700	90	19	3	2	0	0	0	0	0	2	2	1
P4	0.005	inc0p5	del	0.000301	0.000934	87	17	0	0	3	2	2	2	1	0	0	0
P4	0.005	inc0p5	ins	0.000334	0.001671	90	19	3	2	0	0	0	0	0	2	2	1
P5	0.001	inc0p1	del	0.000298	0.001160	108	30	0	0	4	3	3	3	1	0	0	0
P5	0.001	inc0p1	ins	0.000307	0.001603	112	33	4	3	0	0	0	0	0	3	3	1
P5	0.003	inc0p3	del	0.000293	0.004857	108	30	0	0	4	3	3	3	1	0	0	0
P5	0.003	inc0p3	ins	0.000315	0.001274	112	33	4	3	0	0	0	0	0	3	3	1
P5	0.005	inc0p5	del	0.000357	0.001176	108	30	0	0	4	3	3	3	1	0	0	0
P5	0.005	inc0p5	ins	0.000440	0.001853	112	33	4	3	0	0	0	0	0	3	3	1
P6	0.001	inc0p1	del	0.000732	0.002429	247	59	0	0	6	5	5	5	1	0	0	0
P6	0.001	inc0p1	ins	0.000739	0.002886	253	64	6	5	0	0	0	0	0	5	5	1
P6	0.003	inc0p3	del	0.000702	0.002904	247	59	0	0	6	5	5	5	1	0	0	0
P6	0.003	inc0p3	ins	0.000713	0.002378	253	64	6	5	0	0	0	0	0	5	5	1
P6	0.005	inc0p5	del	0.000723	0.002779	247	59	0	0	6	5	5	5	1	0	0	0
P6	0.005	inc0p5	ins	0.000702	0.002365	253	64	6	5	0	0	0	0	0	5	5	1
P7	0.001	inc0p1	del	0.002028	0.002941	718	183	0	0	1	0	0	0	1	0	0	0
P7	0.001	inc0p1	ins	0.002058	0.002737	719	183	1	0	0	0	0	0	0	0	0	1
P7	0.003	inc0p3	del	0.002049	0.002665	718	183	0	0	1	0	0	0	1	0	0	0
P7	0.003	inc0p3	ins	0.001833	0.002393	719	183	1	0	0	0	0	0	0	0	0	1
P7	0.005	inc0p5	del	0.002359	0.003175	711	177	0	0	8	6	6	6	2	0	0	0
P7	0.005	inc0p5	ins	0.001876	0.003146	719	183	8	6	0	0	0	0	0	6	6	2
P8	0.001	inc0p1	del	0.004400	0.002883	1046	282	0	0	16	15	15	15	1	0	0	0
P8	0.001	inc0p1	ins	0.003985	0.002871	1062	297	16	15	0	0	0	0	0	15	15	1
P8	0.003	inc0p3	del	0.004048	0.002656	1046	282	0	0	16	15	15	15	1	0	0	0
P8	0.003	inc0p3	ins	0.003648	0.003024	1062	297	16	15	0	0	0	0	0	15	15	1
P8	0.005	inc0p5	del	0.003885	0.002677	1045	282	0	0	17	15	15	15	2	0	0	0
P8	0.005	inc0p5	ins	0.003741	0.002942	1062	297	17	15	0	0	0	0	0	15	15	2
P9	0.001	inc0p1	del	0.002508	0.002838	871	217	0	0	3	2	2	2	1	0	0	0
P9	0.001	inc0p1	ins	0.002324	0.002920	874	219	3	2	0	0	0	0	0	2	2	1
P9	0.003	inc0p3	del	0.002470	0.002797	871	217	0	0	3	2	2	2	1	0	0	0
P9	0.003	inc0p3	ins	0.002400	0.002833	874	219	3	2	0	0	0	0	0	2	2	1
P9	0.005	inc0p5	del	0.002519	0.007137	870	217	0	0	4	2	2	2	2	0	0	0
P9	0.005	inc0p5	ins	0.002329	0.003126	874	219	4	2	0	0	0	0	0	2	2	2
