DeltaRatioBin	Count	AvgDeltaEdgeRatio	AvgSpeedup	MedianSpeedup
[0,0.05)	2	0.0192	6.671	6.671
[0.05,0.1)	6	0.0685	5.437	5.593
[0.1,0.3)	15	0.1817	4.221	4.379
[0.3,1.0]	13	0.5450	2.733	2.821
